"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","30/1650","110/10650",0.272727272727273,1.7603305785124,3.43205014865066,0.00104056102737916,0.00447441241773038,0.00262878575337893,"16367/23797/26420/12702/11651/18708/26419/210789/105787/20112/18607/18754/170826/19246/228966/56458/74343/19268/18707/18762/108099/26414/434233/208104/208647/14583/18751/16150/244416/18709",30
"Environmental Information Processing","Signal transduction","mmu04070","Phosphatidylinositol signaling system","27/1650","96/10650",0.28125,1.81534090909091,3.43590728108807,0.00110028525724027,0.00467281640111918,0.00274535112917651,"18711/240752/320404/69718/18717/56077/72469/12313/75678/18708/16440/114663/84095/18718/104418/242291/72519/18707/67073/97287/16332/18751/101490/212111/18709/234779/76500",27
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","53/1650","229/10650",0.231441048034935,1.49384676458912,3.23467302618805,0.00137247157432249,0.00575768562886507,0.00338272839884361,"23797/11783/12566/26420/50724/11651/13557/19766/20963/18708/26419/15205/12575/21356/14972/21354/14964/15015/15040/15039/667977/240095/18037/12445/18034/22352/22034/12125/228607/21939/12448/242705/12371/18707/12571/19664/26414/20602/20422/19698/12447/54131/12028/14082/12443/26400/16150/60406/18709/234779/54721/20466/17999",53
"Environmental Information Processing","Signal transduction","mmu04022","cGMP-PKG signaling pathway","42/1650","172/10650",0.244186046511628,1.57610993657505,3.26141093642137,0.00140930128037625,0.00576012581285763,0.00338416204427376,"16367/11539/23797/14672/67972/17931/22333/11932/12313/11651/22334/11515/224129/16440/12915/18754/19877/18018/12015/11551/11554/18019/17261/18160/11928/242202/19055/230103/18386/11553/434233/14673/208647/12288/110891/22323/22335/11556/11739/13617/11513/18021",42
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","30/1650","112/10650",0.267857142857143,1.7288961038961,3.32024914825395,0.00142328690143284,0.00576012581285763,0.00338416204427376,"12168/16324/380664/21402/18121/66313/15902/21809/218441/14313/12914/22042/268977/68010/19877/17128/12156/15901/228839/12162/13559/21812/20481/75788/21803/434215/104394/20466/17127/17130",30
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","30/1650","112/10650",0.267857142857143,1.7288961038961,3.32024914825395,0.00142328690143284,0.00576012581285763,0.00338416204427376,"17164/23797/13654/26420/16362/12313/11651/20963/18708/26419/239114/16440/240354/18018/18034/20779/18019/19055/12042/12795/18707/26414/19698/12051/15461/16150/18709/18021/234779/69632",30
"Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","21/1650","70/10650",0.3,1.93636363636364,3.3653160487593,0.00157676311173511,0.00630705244694044,0.00370548980970797,"23797/67603/21414/19401/20850/14784/11651/18708/19015/18712/12015/12395/18707/21415/12606/15461/12443/16150/13685/18709/235320",21
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","40/1650","163/10650",0.245398773006135,1.58393753485778,3.21669357215207,0.00163730054944155,0.00647392401158499,0.00380352940705115,"497097/17164/12484/20698/13435/15251/12325/50769/19219/107831/209018/19015/12322/18018/12642/240672/20181/68365/16410/22174/269338/228787/12608/18019/20501/108058/11980/77573/19349/21803/78070/18442/50770/319520/18021/12927/55991/11487/235584/320940",40
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","82/1650","389/10650",0.210796915167095,1.36059827062398,3.10226381573888,0.00172722209378755,0.00675186818480589,0.00396682586133027,"14369/14367/16367/226641/23797/19165/26408/641340/11783/13198/26420/22333/22416/216795/29869/13543/26446/56208/57265/17762/78943/69806/14813/13665/12313/11651/18708/22334/26419/66218/66445/27373/22422/22143/13544/11820/56175/16440/14977/14370/67951/16973/16594/12015/14296/22423/227613/14810/16574/22414/19055/12371/18707/13542/14362/26414/22241/12861/93897/14371/74781/20422/68202/20617/13666/22421/12288/14433/14812/333182/14814/14366/22411/15461/14082/26400/22335/16150/11739/18709/234664/11487",82
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis","26/1650","94/10650",0.276595744680851,1.7852998065764,3.27434817162371,0.00175364862872521,0.0067781475087806,0.00398226536623585,"14131/23797/18717/20698/211914/11651/20963/18708/19012/17909/13196/18754/12631/22325/67916/242687/18707/242894/16885/22323/14389/16332/18751/18709/234779/13430",26
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","98/1650","481/10650",0.203742203742204,1.31506331506332,3.02765498427943,0.0020414409181184,0.00780284084258588,0.00458428837752904,"226977/227058/14369/14367/226641/19165/26408/103199/641340/11783/69654/13198/19324/26420/22333/22416/216795/29869/237806/13543/26446/15114/56208/57265/17762/78943/14813/13665/12313/13162/12325/22334/26419/66218/66445/27373/22422/22143/68015/18951/13544/73916/11820/16440/13163/14370/12322/67951/16973/16594/12015/14296/22423/12287/227613/14810/16574/12064/22414/108058/19055/18391/12371/21938/230908/13542/14362/15194/26414/22241/12861/22190/93897/14371/215114/74781/20422/68202/20617/13666/64704/22421/12288/14812/333182/269881/20190/12028/14814/14366/22411/18751/15461/14082/26400/22335/11739/67443",98
"Organismal Systems","Environmental adaptation","mmu04713","Circadian entrainment","27/1650","100/10650",0.27,1.74272727272727,3.19505451381644,0.00212245086621,0.00802333074699165,0.00471382956983598,"70729/19416/12291/14813/14281/12313/12325/11515/224129/16522/58226/16440/12322/14810/108058/18749/14700/18628/12288/14812/14709/20190/14814/18751/18747/11513/14681",27
"Environmental Information Processing","Signal transduction","mmu04340","Hedgehog signaling pathway","18/1650","58/10650",0.310344827586207,2.00313479623824,3.27989119467144,0.00218914309033568,0.00818549155516819,0.00480910152568021,"240888/103236/16568/66313/14451/19206/27373/17237/14725/18749/59056/75788/319757/269878/109689/12443/18747/57810",18
"Organismal Systems","Nervous system","mmu04727","GABAergic synapse","25/1650","91/10650",0.274725274725275,1.77322677322677,3.17169425345328,0.002356462790065,0.00871637849228342,0.00512100572374057,"14660/227120/216456/15114/268566/11515/224129/16522/54393/12287/20779/18749/242425/14700/12288/14709/14407/110886/14402/18751/18747/11513/14681/93739/76257",25
"Metabolism","Glycan biosynthesis and metabolism","mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","9/1650","21/10650",0.428571428571429,2.76623376623377,3.46885988397219,0.00251464635707818,0.00920253560462652,0.00540663046538645,"319901/338362/212898/217119/218271/78923/72727/117592/233781",9
