"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016706","2-oxoglutarate-dependent dioxygenase activity","41/10517","60/28409",0.683333333333333,1.84585116161136,5.02848923985605,8.32356905553517e-07,5.9538534938227e-06,2.38431831444148e-06,"68736/75605/18451/52463/18452/194952/268420/216850/107817/18453/112407/71952/211064/18676/15460/66667/67014/193796/225876/227696/69113/229675/214133/65973/76804/230674/56401/231642/30841/26433/338523/194388/214899/112406/77035/26383/112405/26432/74443/22289/20591",41
"GO:0140296","general transcription initiation factor binding","41/10517","60/28409",0.683333333333333,1.84585116161136,5.02848923985605,8.32356905553517e-07,5.9538534938227e-06,2.38431831444148e-06,"51810/71902/17938/19014/21833/11622/83602/72308/544971/15499/12914/21374/68776/12393/98053/14815/21413/67655/66556/19697/70769/59022/71834/229937/12042/64424/16476/66464/56717/19181/19822/13486/98758/13870/14113/20174/22286/66653/68153/110784/11835",41
"GO:0005548","phospholipid transporter activity","43/10517","64/28409",0.671875,1.81489938908434,5.00371505860099,9.2615822069779e-07,6.58881038529025e-06,2.63859721915045e-06,"497097/245860/27403/320091/23943/70310/18738/75909/71795/238257/218335/22334/50769/105722/27410/11307/54670/225655/18739/18830/66390/228983/229227/54667/11303/76574/381560/18669/18670/213948/11980/56305/56356/19679/231999/11982/233724/50770/71764/69981/22038/235527/320940",43
"GO:0017022","myosin binding","50/10517","78/28409",0.641025641025641,1.73156769381929,4.96029710282802,1.08660963301814e-06,7.6884973493013e-06,3.078984906077e-06,"211673/12790/70827/12767/78808/215008/71774/14799/16897/22318/66196/15114/26941/217325/19325/110789/67295/213019/207227/80718/381218/68365/227753/640524/58800/20614/228785/98932/99371/80890/69807/69908/67946/77569/20907/231876/109624/26362/54631/56188/12721/19339/17274/21968/67903/67557/270192/245049/67095/208431",50
"GO:0099186","structural constituent of postsynapse","23/10517","28/28409",0.821428571428571,2.21888031622271,4.94724085449003,1.29536826722446e-06,9.11632828923024e-06,3.65078323190596e-06,"103967/380684/13169/12323/13385/216963/50997/11465/109711/11472/26556/18163/58234/13383/224997/20743/226180/50791/11461/243961/23859/210274/53310",23
"GO:0004402","histone acetyltransferase activity","31/10517","42/28409",0.738095238095238,1.99377651602621,4.94132583334929,1.35395675522821e-06,9.47769728659744e-06,3.79549937575934e-06,"76901/216825/217031/217127/23989/17977/12593/54169/223770/12914/72117/72057/268936/18519/70999/76055/269252/228019/107435/11909/228714/17979/269424/70088/12753/12190/78783/28019/24075/67773/244349",31
"GO:0008432","JUN kinase binding","16/10517","17/28409",0.941176470588235,2.54234880221938,4.87692290096269,1.36926974378762e-06,9.53390475860633e-06,3.81800858010209e-06,"63953/70834/26401/14083/60597/15205/30957/13163/21815/16573/16906/19099/24017/71890/13498/70686",16
"GO:0051018","protein kinase A binding","39/10517","57/28409",0.684210526315789,1.84822067529764,4.91463482498909,1.46388349374078e-06,1.01387486418343e-05,4.06022823660768e-06,"211673/170760/83397/432442/83767/14799/11640/19401/19084/20682/19088/238161/59036/66787/20191/56637/224273/22350/240025/56399/54194/320722/73137/99371/18767/26422/80877/677884/242687/19085/245880/319757/629378/75547/18747/19684/12988/19087/245049",39
"GO:0043015","gamma-tubulin binding","27/10517","35/28409",0.771428571428571,2.08381803610481,4.91888801947975,1.52817566653067e-06,1.04186559765033e-05,4.17232172111991e-06,"110957/17997/216963/19364/18102/219103/17988/328580/26934/73689/51885/100503311/17096/214444/18578/12190/52055/381979/232944/232987/18479/74237/54126/259279/235180/330938/68121",27
"GO:0051019","mitogen-activated protein kinase binding","27/10517","35/28409",0.771428571428571,2.08381803610481,4.91888801947975,1.52817566653067e-06,1.04186559765033e-05,4.17232172111991e-06,"29819/17164/108989/63953/93759/23939/216869/53892/11421/26401/14528/66513/223922/19252/26416/18018/19091/19271/18798/19092/23980/17165/70686/15469/29875/320878/102626",27
"GO:0051059","NF-kappaB binding","27/10517","35/28409",0.771428571428571,2.08381803610481,4.91888801947975,1.52817566653067e-06,1.04186559765033e-05,4.17232172111991e-06,"209456/18148/26443/18035/11792/67154/83945/56637/19015/56399/15511/193740/72504/15183/107392/19697/18572/99311/18129/12042/12578/14084/433759/11746/243910/73845/66083",27
"GO:0043022","ribosome binding","70/10517","120/28409",0.583333333333333,1.57572660137555,4.84545922717856,1.65375270581526e-06,1.12163849321875e-05,4.49178536949005e-06,"29819/110957/13629/103425/432508/78428/18148/73158/216766/276770/216877/57837/18102/20918/70207/217337/66244/56541/218506/218629/105083/66487/219022/52535/78757/223453/68614/74112/18712/224727/224742/13664/66836/208922/13418/76747/65964/67059/16418/20014/229096/208691/74838/229317/97112/66212/230738/56717/22791/56384/231207/66661/107999/22256/72650/66711/75593/66870/53421/73830/211548/71974/12877/101592/56347/67276/15983/68969/14265/56292",70
"GO:0004714","transmembrane receptor protein tyrosine kinase activity","42/10517","63/28409",0.666666666666667,1.80083040157206,4.87867352821333,1.69816250769251e-06,1.14582202194304e-05,4.58863227797542e-06,"18187/13869/13838/13649/13866/26564/14186/18212/13845/13840/13837/12305/11682/100042150/18596/17005/22174/17289/13841/26563/230735/13844/14184/18595/16542/116701/13846/14255/14254/17295/13848/13835/19713/26362/16001/18213/14183/16337/14182/18186/270190/19882",42
"GO:0030145","manganese ion binding","45/10517","69/28409",0.652173913043478,1.76168191458136,4.85663078115196,1.84177433677064e-06,1.23635005478604e-05,4.95116663812027e-06,"107895/14645/69181/17308/217119/268510/217664/19042/11847/97827/18789/56196/218271/210044/18174/268880/20656/56409/18712/19043/14423/70640/170750/14425/77015/18534/228961/27357/58193/14595/15356/66988/19023/80752/243382/18624/52858/22427/408022/16795/18747/108148/75686/235574/67905",45
"GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","21/10517","25/28409",0.84,2.26904630598079,4.86684479152975,1.90192349865484e-06,1.27021319374448e-05,5.08677713388889e-06,"29863/18605/218461/238871/18574/23984/18585/225600/241489/18573/18583/242202/18578/18575/78600/54611/18584/207728/18576/110385/18577",21
