"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050771","negative regulation of axonogenesis","44/10656","59/28928",0.745762711864407,2.02453300758386,6.01577868671276,3.98238500390674e-09,2.36268903407824e-08,7.07539985410882e-09,"70827/17756/74117/21960/14025/68585/320027/22416/18208/13643/19164/22418/20356/14083/239667/65079/22084/240057/19280/17196/19211/20562/228357/214968/229285/360213/20360/13841/13131/13844/70433/20346/20563/52822/22241/74132/20355/244058/18186/21838/20187/20350/15185/14168",44
"GO:0099558","maintenance of synapse structure","34/10656","42/28928",0.80952380952381,2.1976261976262,5.93141060910651,6.01165925665031e-09,3.45987924471653e-08,1.03610880442639e-08,"116837/210933/50997/14824/16416/11845/238988/116838/58234/106042/13383/240057/18189/104418/192167/20661/329942/20318/20346/26875/319387/231760/243743/243548/111173/243961/23859/13017/19339/16412/54725/12217/16728/94190",34
"GO:0021955","central nervous system neuron axonogenesis","35/10656","44/28928",0.795454545454545,2.15943215943216,5.8775830287572,8.51469630380812e-09,4.81566474345134e-08,1.44211756739056e-08,"13838/14633/21907/72320/110532/18750/18080/110596/105689/14083/13845/268882/68190/56386/13176/19211/24136/18227/56336/13175/11444/99512/18028/13844/70433/20563/77630/654470/243743/74244/14790/232906/80297/244152/270190",35
"GO:0099149","regulation of postsynaptic neurotransmitter receptor internalization","32/10656","39/28928",0.82051282051282,2.22745822745823,5.85771895130339,9.06356810679127e-09,5.10401449459098e-08,1.5284678977861e-08,"96935/18717/16971/54189/15114/16416/18222/11838/105782/18693/13490/208650/104015/23969/83814/67979/14745/66743/26562/15444/69727/215114/108086/232227/110058/269994/13491/13642/211323/234729/17999/94190",32
"GO:0042551","neuron maturation","49/10656","70/28928",0.7,1.9003003003003,5.75915889546094,1.75910135726236e-08,9.52069923326267e-08,2.85110537165213e-08,"210933/260298/227377/12043/269116/11735/57764/14025/18858/387208/387150/170758/319504/16531/668253/19645/13618/110862/18591/76505/223881/71751/74143/56637/11820/224650/18189/56386/14682/80906/18227/114889/16500/56336/16536/67161/12259/56717/68955/19353/14461/243547/19713/80297/23859/12577/54352/235379/121021",49
"GO:0099601","regulation of neurotransmitter receptor activity","38/10656","50/28928",0.76,2.06318318318318,5.74599581219609,1.90549605172469e-08,1.02283523696027e-07,3.0630219135839e-08,"72978/380702/216856/50932/54377/140723/380785/69635/26556/12919/11838/23936/12300/435145/60597/72555/75785/260297/246317/12794/18190/18128/12918/192167/16975/14664/13844/19699/81904/232813/243961/54376/269994/244310/26558/110835/19417/245537",38
"GO:0048679","regulation of axon regeneration","29/10656","35/28928",0.828571428571429,2.24933504933505,5.64770999308156,3.01670730394013e-08,1.57785858825284e-07,4.72511628238201e-08,"13838/21960/16971/84035/237847/18377/14824/14226/80913/223255/65079/19280/19211/76893/269473/66368/16600/19268/19242/109880/16001/244058/18213/233781/101490/211323/18007/26395/192176",29
"GO:0007528","neuromuscular junction development","47/10656","67/28928",0.701492537313433,1.90435211330734,5.65946048740309,3.08747807345334e-08,1.61229485976341e-07,4.8282404713496e-08,"74018/12292/11735/108030/18858/12928/13866/53321/20474/268566/14062/105689/223254/12300/83945/12929/104156/545156/56637/11820/69597/20411/12298/228357/20648/22249/67830/13542/11603/231134/14371/19353/19242/13191/55983/67533/80297/18479/19024/14183/12826/14272/382018/16795/17999/16716/56808",47
"GO:0070571","negative regulation of neuron projection regeneration","19/10656","20/28928",0.95,2.57897897897898,5.39433711040174,7.39738860612899e-08,3.65564071858438e-07,1.09473229163384e-07,"26921/13838/21960/84035/68585/237847/65079/19280/13367/19211/76893/269473/66368/244058/233781/101490/21838/18007/54004",19
"GO:0031103","axon regeneration","43/10656","61/28928",0.704918032786885,1.91365135627431,5.45507034166183,9.51114958669815e-08,4.60280503314822e-07,1.37837377624828e-07,"13838/12043/21960/18605/16971/380684/84035/237847/18377/14824/14226/80913/238505/17755/223255/12257/65079/14432/30957/19280/12385/16452/19211/269295/76893/269473/66368/16600/16476/19268/19242/109880/16001/244058/18213/233781/101490/211323/18007/26395/13138/29873/192176",43
"GO:1905606","regulation of presynapse assembly","30/10656","38/28928",0.789473684210526,2.14319582740635,5.38510801015245,1.38747159442854e-07,6.55439977194639e-07,1.96280587590287e-07,"216028/22416/13643/216856/238205/320772/11845/76965/75409/223254/208643/16180/207683/11820/74762/18189/225875/171171/192167/386750/14362/20617/14804/22421/233067/272381/18213/211323/14735/60367",30
"GO:2001222","regulation of neuron migration","43/10656","62/28928",0.693548387096774,1.88278601181827,5.31390449190631,1.99576193774643e-07,9.16312608777117e-07,2.74402513616821e-07,"12767/14270/12323/20848/399558/22367/668303/218194/67263/71175/170729/140570/56637/224617/30957/20358/12322/71653/56876/171171/69601/17242/18508/545474/242050/16800/269473/80883/22253/18786/20346/19699/19353/12386/210801/211323/76454/330914/214812/19823/209012/192176/70771",43
"GO:0048846","axon extension involved in axon guidance","20/10656","22/28928",0.909090909090909,2.46792246792247,5.25988464222401,2.04078375613046e-07,9.35013608800347e-07,2.80002787327308e-07,"12168/18187/20564/22416/22418/20356/11658/13508/22339/20562/20346/20563/319757/243743/20315/269878/18186/20187/20350/15185",20
"GO:0072578","neurotransmitter-gated ion channel clustering","20/10656","22/28928",0.909090909090909,2.46792246792247,5.25988464222401,2.04078375613046e-07,9.35013608800347e-07,2.80002787327308e-07,"380702/216856/13385/268566/15550/58234/18189/192167/26570/386750/76742/230235/19699/231637/243547/269788/232813/11816/70546/83453",20
"GO:1902284","neuron projection extension involved in neuron projection guidance","20/10656","22/28928",0.909090909090909,2.46792246792247,5.25988464222401,2.04078375613046e-07,9.35013608800347e-07,2.80002787327308e-07,"12168/18187/20564/22416/22418/20356/11658/13508/22339/20562/20346/20563/319757/243743/20315/269878/18186/20187/20350/15185",20
"GO:0098962","regulation of postsynaptic neurotransmitter receptor activity","15/10656","15/28928",1,2.71471471471471,5.07278769348436,3.1005044581592e-07,1.37898626853367e-06,4.12956555114652e-07,"380702/54377/380785/26556/435145/72555/246317/18190/18128/16975/81904/232813/244310/26558/110835",15
"GO:0048169","regulation of long-term neuronal synaptic plasticity","30/10656","39/28928",0.769230769230769,2.08824208824209,5.19334683763696,3.88338988364311e-07,1.69603226848755e-06,5.0790037503612e-07,"116837/16513/12323/13385/18015/20972/58234/14811/11820/240028/240057/271457/13653/104027/246317/18011/14810/12064/14359/13844/16542/20617/14812/16653/108071/15461/17274/11606/20320/14265",30
"GO:1902683","regulation of receptor localization to synapse","30/10656","39/28928",0.769230769230769,2.08824208824209,5.19334683763696,3.88338988364311e-07,1.69603226848755e-06,5.0790037503612e-07,"216831/16416/56320/23888/545156/56637/12322/12794/56508/13821/208188/665113/26422/18762/50791/22177/15461/70546/74513/16412/69091/19684/20320/26395/81907/56808/13138/69035/14735/245666",30
"GO:0021885","forebrain cell migration","48/10656","73/28928",0.657534246575342,1.78501789460694,5.12845096983473,4.93837397532647e-07,2.11857539702654e-06,6.34436772627935e-07,"18993/12570/12767/14270/21960/21907/18293/13649/72129/68585/12569/192157/16777/319565/19164/14634/328365/223697/268882/68146/19876/74762/20807/20562/13797/69601/545428/22174/99512/13131/16975/15565/19699/20563/77053/19353/20315/19305/26362/14182/171167/211323/244667/330938/19823/12387/209012/14168",48
